,CHROM,enh_start,enh_end,Transcript,Gene,Gene_ID,genomic element,H3K27ac-expression correlation p-values,relation
83,chr11,63581548,63584703,ENST00000255695,HRASLS2,ENSG00000133328,intronic enhancer,0.088,closest
84,chr11,63581548,63584703,ENST00000323646,PLA2G16,ENSG00000176485,intronic enhancer,0.003,containing
85,chr11,63581548,63584703,ENST00000415826,PLA2G16,ENSG00000176485,intronic enhancer,0.009,containing
89,chr7,106215502,106218679,ENST00000354289,NAMPT,ENSG00000105835,intergenic enhancer,0.001,closest
99,chr10,43361972,43363089,ENST00000476166,FXYD4,ENSG00000150201,intergenic enhancer,0.048,closest
100,chr10,6755243,6757437,ENST00000263125,PRKCQ,ENSG00000065675,intergenic enhancer,0.034,closest
101,chr10,6755243,6757437,ENST00000397176,PRKCQ,ENSG00000065675,intergenic enhancer,0.035,closest
102,chr10,6755243,6757437,ENST00000539722,PRKCQ,ENSG00000065675,intergenic enhancer,0.034,closest
103,chr12,4291752,4295001,ENST00000261254,CCND2,ENSG00000118971,intronic enhancer,0.015,containing
104,chr12,4291752,4295001,ENST00000536537,CCND2,ENSG00000118971,intronic enhancer,0.002,containing
107,chr12,101776476,101778403,ENST00000299314,GNPTAB,ENSG00000111670,intronic enhancer,0.004,containing
108,chr12,101776476,101778403,ENST00000549940,GNPTAB,ENSG00000111670,intronic enhancer,0.001,containing
109,chr12,101776476,101778403,ENST00000552681,GNPTAB,ENSG00000111670,intronic enhancer,0.001,containing;closest
110,chr12,4291752,4295001,ENST00000635110,TIGAR,ENSG00000078237,intronic enhancer,0.142,closest
112,chr15,69523540,69525931,ENST00000560274,RPLP1,ENSG00000137818,intergenic enhancer,0.113,closest
114,chr16,88387053,88389416,ENST00000437464,ZNF469,ENSG00000225614,intergenic enhancer,0.001,closest
115,chr16,88387053,88389416,ENST00000565624,ZNF469,ENSG00000225614,intergenic enhancer,0.001,closest
117,chr17,28759103,28762280,ENST00000452648,FAM222B,ENSG00000173065,intronic enhancer,0.065,containing
118,chr17,28759103,28762280,ENST00000577376,FAM222B,ENSG00000173065,intronic enhancer,0.074,containing
119,chr17,28759103,28762280,ENST00000577513,FAM222B,ENSG00000173065,intronic enhancer,0.123,containing
120,chr17,28759103,28762280,ENST00000577682,FAM222B,ENSG00000173065,intronic enhancer,0.089,containing
121,chr17,28759103,28762280,ENST00000581229,FAM222B,ENSG00000173065,intronic enhancer,0.131,containing
124,chr17,28759103,28762280,ENST00000582059,FAM222B,ENSG00000173065,intronic enhancer,0.13,containing
125,chr17,28759103,28762280,ENST00000582266,FAM222B,ENSG00000173065,intronic enhancer,0.066,containing
126,chr17,28759103,28762280,ENST00000583307,FAM222B,ENSG00000173065,intronic enhancer,0.108,containing
128,chr17,28759103,28762280,ENST00000583953,FAM222B,ENSG00000173065,intronic enhancer,0.096,containing
130,chr17,59232777,59235903,ENST00000284116,GDPD1,ENSG00000153982,intronic enhancer,0.043,containing
131,chr17,59232777,59235903,ENST00000581140,GDPD1,ENSG00000153982,intronic enhancer,0.048,containing
132,chr17,59232777,59235903,ENST00000581276,GDPD1,ENSG00000153982,intronic enhancer,0.137,containing;closest
137,chr2,60294731,60296017,ENST00000479026,BCL11A,ENSG00000119866,intergenic enhancer,0.082,closest
150,chr4,183876195,183877046,ENST00000308497,STOX2,ENSG00000173320,intergenic enhancer,0.009,closest
159,chr8,28346704,28350397,ENST00000344423,ZNF395,ENSG00000186918,intronic enhancer,0.124,containing
173,chr17,80064002,80065287,ENST00000269318,CCDC40,ENSG00000141519,intronic enhancer,0.057,containing
174,chr17,80064002,80065287,ENST00000374876,CCDC40,ENSG00000141519,intronic enhancer,0.104,containing
175,chr17,80064002,80065287,ENST00000374877,CCDC40,ENSG00000141519,intronic enhancer,0.028,containing
176,chr17,80064002,80065287,ENST00000397545,CCDC40,ENSG00000141519,intronic enhancer,0.012,containing
177,chr17,80064002,80065287,ENST00000571028,CCDC40,ENSG00000141519,intronic enhancer,0.134,containing;closest
178,chr17,60645505,60647164,ENST00000305921,PPM1D,ENSG00000170836,intronic enhancer,0.033,containing
179,chr17,60645505,60647164,ENST00000629650,PPM1D,ENSG00000170836,intronic enhancer,0.048,containing
186,chr2,197235678,197238799,ENST00000282272,ANKRD44,ENSG00000065413,intronic enhancer,0.003,containing
187,chr2,197235678,197238799,ENST00000328737,ANKRD44,ENSG00000065413,intronic enhancer,0.007,closest
188,chr2,197235678,197238799,ENST00000409153,ANKRD44,ENSG00000065413,intronic enhancer,0.007,containing
189,chr2,197235678,197238799,ENST00000409919,ANKRD44,ENSG00000065413,intronic enhancer,0.007,containing
190,chr2,197235678,197238799,ENST00000443014,ANKRD44,ENSG00000065413,intronic enhancer,0.018,containing
191,chr20,21052117,21054511,ENST00000619574,KIZ,ENSG00000088970,intergenic enhancer,0.012,closest
197,chr4,143410681,143413103,ENST00000262994,GAB1,ENSG00000109458,intronic enhancer,0.039,containing
198,chr4,143410681,143413103,ENST00000262995,GAB1,ENSG00000109458,intronic enhancer,0.052,containing
199,chr4,143410681,143413103,ENST00000505913,GAB1,ENSG00000109458,intronic enhancer,0.039,containing
200,chr4,143410681,143413103,ENST00000509992,GAB1,ENSG00000109458,intronic enhancer,0.032,containing;closest
201,chr4,143410681,143413103,ENST00000514639,GAB1,ENSG00000109458,intronic enhancer,0.118,containing
202,chr4,143410681,143413103,ENST00000515366,GAB1,ENSG00000109458,intronic enhancer,0.109,containing
207,chr7,151198808,151200389,ENST00000615129,IQCA1L,ENSG00000278685,intronic enhancer,0.004,containing;closest
210,chrX,10082601,10084220,ENST00000380861,WWC3,ENSG00000047644,intronic enhancer,0.062,containing
212,chr1,218663965,218665567,ENST00000366929,TGFB2,ENSG00000092969,intergenic enhancer,0.131,closest
213,chr1,218663965,218665567,ENST00000366930,TGFB2,ENSG00000092969,intergenic enhancer,0.125,closest
214,chr10,78864137,78867293,ENST00000334512,ZMIZ1,ENSG00000108175,intergenic enhancer,0.0,closest
215,chr15,74135249,74137847,ENST00000361742,ISLR2,ENSG00000167178,intronic enhancer,0.022,containing
217,chr15,74135249,74137847,ENST00000435464,ISLR2,ENSG00000167178,intronic enhancer,0.019,containing
218,chr15,74135249,74137847,ENST00000565540,ISLR2,ENSG00000167178,intronic enhancer,0.101,containing;closest
224,chr19,2293553,2296485,ENST00000585527,LINGO3,ENSG00000220008,intergenic enhancer,0.112,closest
225,chr2,238214619,238218468,ENST00000254654,ILKAP,ENSG00000132323,intergenic enhancer,0.083,closest
226,chr20,56111426,56113609,ENST00000064571,CBLN4,ENSG00000054803,intergenic enhancer,0.011,closest
230,chr4,87077386,87079930,ENST00000507468,AFF1,ENSG00000172493,intronic enhancer,0.134,containing
245,chr7,14193570,14199091,ENST00000399322,DGKB,ENSG00000136267,intronic enhancer,0.001,containing
246,chr7,14193570,14199091,ENST00000402815,DGKB,ENSG00000136267,intronic enhancer,0.001,containing
247,chr7,14193570,14199091,ENST00000403951,DGKB,ENSG00000136267,intronic enhancer,0.001,containing
248,chr7,14193570,14199091,ENST00000406247,DGKB,ENSG00000136267,intronic enhancer,0.001,containing
249,chr7,14193570,14199091,ENST00000407950,DGKB,ENSG00000136267,intronic enhancer,0.001,containing
250,chr7,14193570,14199091,ENST00000242066,ETV1,ENSG00000006468,intronic enhancer,0.008,closest
251,chr7,14193570,14199091,ENST00000421381,ETV1,ENSG00000006468,intronic enhancer,0.037,closest
252,chr8,10510797,10513411,ENST00000328655,PRSS55,ENSG00000184647,intergenic enhancer,0.051,closest
253,chr8,10510797,10513411,ENST00000522210,PRSS55,ENSG00000184647,intergenic enhancer,0.06,closest
254,chr9,136052181,136054381,ENST00000277554,NACC2,ENSG00000148411,intronic enhancer,0.072,containing
255,chr9,136052181,136054381,ENST00000371753,NACC2,ENSG00000148411,intronic enhancer,0.072,closest
258,chr1,13592743,13594766,ENST00000294489,PDPN,ENSG00000162493,intronic enhancer,0.0,containing
259,chr1,13592743,13594766,ENST00000376057,PDPN,ENSG00000162493,intronic enhancer,0.0,containing
260,chr1,13592743,13594766,ENST00000376061,PDPN,ENSG00000162493,intronic enhancer,0.0,containing
261,chr1,13592743,13594766,ENST00000475043,PDPN,ENSG00000162493,intronic enhancer,0.0,containing;closest
262,chr1,13592743,13594766,ENST00000487038,PDPN,ENSG00000162493,intronic enhancer,0.0,containing
263,chr1,13592743,13594766,ENST00000509009,PDPN,ENSG00000162493,intronic enhancer,0.0,containing
264,chr1,13592743,13594766,ENST00000510906,PDPN,ENSG00000162493,intronic enhancer,0.0,containing
265,chr1,13592743,13594766,ENST00000513143,PDPN,ENSG00000162493,intronic enhancer,0.0,containing
266,chr1,13592743,13594766,ENST00000617617,PDPN,ENSG00000162493,intronic enhancer,0.0,containing
267,chr1,13592743,13594766,ENST00000621990,PDPN,ENSG00000162493,intronic enhancer,0.0,containing
289,chr17,11718977,11720614,ENST00000262442,DNAH9,ENSG00000007174,intronic enhancer,0.012,containing
290,chr17,11718977,11720614,ENST00000454412,DNAH9,ENSG00000007174,intronic enhancer,0.012,containing
291,chr17,11718977,11720614,ENST00000579813,DNAH9,ENSG00000007174,intronic enhancer,0.002,closest
298,chr2,96875261,96876793,ENST00000393526,FAM178B,ENSG00000168754,intronic enhancer,0.1,containing
299,chr2,96875261,96876793,ENST00000490605,FAM178B,ENSG00000168754,intronic enhancer,0.104,containing
302,chr2,102226238,102228697,ENST00000441515,IL1RL2,ENSG00000115598,intronic enhancer,0.136,containing
309,chr20,31698127,31701162,ENST00000307677,BCL2L1,ENSG00000171552,intronic enhancer,0.001,containing
310,chr20,31698127,31701162,ENST00000376055,BCL2L1,ENSG00000171552,intronic enhancer,0.001,containing
311,chr20,31698127,31701162,ENST00000376062,BCL2L1,ENSG00000171552,intronic enhancer,0.001,containing
312,chr20,31698127,31701162,ENST00000434194,BCL2L1,ENSG00000171552,intronic enhancer,0.002,closest
313,chr20,31698127,31701162,ENST00000450273,BCL2L1,ENSG00000171552,intronic enhancer,0.001,containing
314,chr20,51455931,51457577,ENST00000371564,NFATC2,ENSG00000101096,intronic enhancer,0.128,containing;closest
315,chr20,51455931,51457577,ENST00000396009,NFATC2,ENSG00000101096,intronic enhancer,0.128,containing;closest
322,chr4,147524111,147526980,ENST00000324300,EDNRA,ENSG00000151617,intronic enhancer,0.001,containing
323,chr4,147524111,147526980,ENST00000358556,EDNRA,ENSG00000151617,intronic enhancer,0.001,containing
324,chr4,147524111,147526980,ENST00000506066,EDNRA,ENSG00000151617,intronic enhancer,0.004,containing;closest
325,chr4,147524111,147526980,ENST00000511804,EDNRA,ENSG00000151617,intronic enhancer,0.012,containing
326,chr5,42990996,42993942,ENST00000616064,ANXA2R,ENSG00000177721,intergenic enhancer,0.0,closest
329,chr8,8345380,8347852,ENST00000615670,SGK223,ENSG00000275342,intronic enhancer,0.044,containing
330,chr8,8345380,8347852,ENST00000622241,SGK223,ENSG00000275342,intronic enhancer,0.044,containing;closest
343,chr11,61687623,61689731,ENST00000257215,DAGLA,ENSG00000134780,intronic enhancer,0.128,containing;closest
345,chr19,48424485,48425672,ENST00000253237,GRWD1,ENSG00000105447,intronic enhancer,0.116,closest
350,chr11,117076628,117078857,ENST00000375300,SIK3,ENSG00000160584,intronic enhancer,0.0,containing
351,chr11,117076628,117078857,ENST00000445177,SIK3,ENSG00000160584,intronic enhancer,0.0,containing;closest
352,chr11,117076628,117078857,ENST00000446921,SIK3,ENSG00000160584,intronic enhancer,0.015,containing
366,chr6,134287690,134290253,ENST00000367858,SGK1,ENSG00000118515,intronic enhancer,0.001,containing
368,chr6,134287690,134290253,ENST00000461976,SGK1,ENSG00000118515,intronic enhancer,0.002,containing
376,chr4,94574916,94577942,ENST00000317968,PDLIM5,ENSG00000163110,intronic enhancer,0.07,containing
377,chr4,94574916,94577942,ENST00000318007,PDLIM5,ENSG00000163110,intronic enhancer,0.048,containing
378,chr4,94574916,94577942,ENST00000380180,PDLIM5,ENSG00000163110,intronic enhancer,0.059,containing
379,chr4,94574916,94577942,ENST00000437932,PDLIM5,ENSG00000163110,intronic enhancer,0.07,containing
380,chr4,94574916,94577942,ENST00000503974,PDLIM5,ENSG00000163110,intronic enhancer,0.029,containing
381,chr4,94574916,94577942,ENST00000508216,PDLIM5,ENSG00000163110,intronic enhancer,0.054,containing
383,chr4,94574916,94577942,ENST00000513341,PDLIM5,ENSG00000163110,intronic enhancer,0.057,containing;closest
384,chr4,94574916,94577942,ENST00000514743,PDLIM5,ENSG00000163110,intronic enhancer,0.097,containing
385,chr4,94574916,94577942,ENST00000542407,PDLIM5,ENSG00000163110,intronic enhancer,0.097,containing
386,chr4,94574916,94577942,ENST00000615540,PDLIM5,ENSG00000163110,intronic enhancer,0.07,containing
387,chr1,109534852,109537309,ENST00000527748,GPR61,ENSG00000156097,intergenic enhancer,0.084,closest
389,chr12,117564094,117565899,ENST00000339824,KSR2,ENSG00000171435,intronic enhancer,0.0,containing
390,chr12,117564094,117565899,ENST00000425217,KSR2,ENSG00000171435,intronic enhancer,0.0,containing
391,chr12,117564094,117565899,ENST00000618760,NOS1,ENSG00000089250,intronic enhancer,0.033,closest
392,chr12,128380758,128382745,ENST00000435159,TMEM132C,ENSG00000181234,intronic enhancer,0.005,containing;closest
393,chr14,26774632,26777806,ENST00000539517,NOVA1,ENSG00000139910,intergenic enhancer,0.003,closest
394,chr16,81519663,81522333,ENST00000537098,CMIP,ENSG00000153815,intronic enhancer,0.122,containing
395,chr16,81519663,81522333,ENST00000539778,CMIP,ENSG00000153815,intronic enhancer,0.116,containing;closest
403,chr3,134600430,134603920,ENST00000460895,EPHB1,ENSG00000154928,intronic enhancer,0.028,closest
404,chr3,134600430,134603920,ENST00000423778,KY,ENSG00000174611,intronic enhancer,0.039,containing
405,chr3,134600430,134603920,ENST00000503669,KY,ENSG00000174611,intronic enhancer,0.014,containing
406,chr3,134600430,134603920,ENST00000508956,KY,ENSG00000174611,intronic enhancer,0.041,containing
409,chr7,44176308,44179640,ENST00000403799,GCK,ENSG00000106633,intronic enhancer,0.007,containing
410,chr7,44176308,44179640,ENST00000437084,GCK,ENSG00000106633,intronic enhancer,0.109,containing;closest
411,chr7,24882697,24884972,ENST00000313367,OSBPL3,ENSG00000070882,intronic enhancer,0.0,containing
412,chr7,24882697,24884972,ENST00000396429,OSBPL3,ENSG00000070882,intronic enhancer,0.0,containing;closest
413,chr7,24882697,24884972,ENST00000396431,OSBPL3,ENSG00000070882,intronic enhancer,0.0,containing
414,chr7,24882697,24884972,ENST00000409069,OSBPL3,ENSG00000070882,intronic enhancer,0.0,containing;closest
415,chr7,24882697,24884972,ENST00000415162,OSBPL3,ENSG00000070882,intronic enhancer,0.004,containing
416,chr7,24882697,24884972,ENST00000415952,OSBPL3,ENSG00000070882,intronic enhancer,0.007,containing
417,chr7,24882697,24884972,ENST00000441059,OSBPL3,ENSG00000070882,intronic enhancer,0.005,containing
435,chr11,131652483,131654511,ENST00000374791,NTM,ENSG00000182667,intronic enhancer,0.068,containing
437,chr11,131652483,131654511,ENST00000436745,NTM,ENSG00000182667,intronic enhancer,0.048,containing
438,chr11,131652483,131654511,ENST00000550167,NTM,ENSG00000182667,intronic enhancer,0.013,containing
440,chr14,94935532,94937981,ENST00000238558,GSC,ENSG00000133937,intergenic enhancer,0.076,closest
450,chr2,196111905,196115301,ENST00000606789,STK17B,ENSG00000081320,intergenic enhancer,0.059,closest
465,chr6,53837104,53839900,ENST00000370882,LRRC1,ENSG00000137269,intronic enhancer,0.02,containing;closest
466,chr6,53837104,53839900,ENST00000370888,LRRC1,ENSG00000137269,intronic enhancer,0.042,containing
470,chr19,6515556,6517602,ENST00000601640,TUBB4A,ENSG00000104833,intergenic enhancer,0.009,closest
481,chr9,129962373,129965798,ENST00000355681,FNBP1,ENSG00000187239,intronic enhancer,0.028,containing
485,chr9,129962373,129965798,ENST00000449089,FNBP1,ENSG00000187239,intronic enhancer,0.019,containing;closest
487,chr22,42932663,42936063,ENST00000263246,PACSIN2,ENSG00000100266,intronic enhancer,0.071,containing
488,chr22,42932663,42936063,ENST00000337959,PACSIN2,ENSG00000100266,intronic enhancer,0.087,containing
491,chr22,42932663,42936063,ENST00000407585,PACSIN2,ENSG00000100266,intronic enhancer,0.087,containing
496,chr19,1301450,1304800,ENST00000215368,EFNA2,ENSG00000099617,intronic enhancer,0.125,closest
508,chr12,94434657,94436885,ENST00000339839,CEP83,ENSG00000173588,intronic enhancer,0.007,containing
509,chr12,94434657,94436885,ENST00000397807,CEP83,ENSG00000173588,intronic enhancer,0.003,closest
510,chr12,94434657,94436885,ENST00000397809,CEP83,ENSG00000173588,intronic enhancer,0.008,containing
512,chr12,94434657,94436885,ENST00000547575,CEP83,ENSG00000173588,intronic enhancer,0.094,containing
514,chr11,2727318,2730463,ENST00000380725,CDKN1C,ENSG00000129757,intronic enhancer,0.001,closest
522,chr8,122154973,122157477,ENST00000303924,HAS2,ENSG00000170961,intergenic enhancer,0.031,closest
524,chr9,89874220,89876212,ENST00000375769,GADD45G,ENSG00000130222,intergenic enhancer,0.001,closest
537,chr9,136023710,136025788,ENST00000277554,NACC2,ENSG00000148411,intronic enhancer,0.07,containing
538,chr9,136023710,136025788,ENST00000371753,NACC2,ENSG00000148411,intronic enhancer,0.07,containing;closest
539,chr9,112165499,112167161,ENST00000355396,SUSD1,ENSG00000106868,intronic enhancer,0.004,containing;closest
540,chr9,112165499,112167161,ENST00000374263,SUSD1,ENSG00000106868,intronic enhancer,0.004,containing
541,chr9,112165499,112167161,ENST00000374264,SUSD1,ENSG00000106868,intronic enhancer,0.003,containing
542,chr9,112165499,112167161,ENST00000374270,SUSD1,ENSG00000106868,intronic enhancer,0.004,containing
546,chr12,125015290,125016515,ENST00000341446,BRI3BP,ENSG00000184992,intronic enhancer,0.085,containing;closest
550,chr1,236715135,236717576,ENST00000366578,ACTN2,ENSG00000077522,intronic enhancer,0.102,containing;closest
551,chr1,236715135,236717576,ENST00000542672,ACTN2,ENSG00000077522,intronic enhancer,0.066,containing
552,chr1,236715135,236717576,ENST00000546208,ACTN2,ENSG00000077522,intronic enhancer,0.09,containing
554,chr10,126955281,126956851,ENST00000280333,DOCK1,ENSG00000150760,intronic enhancer,0.004,containing
555,chr10,126955281,126956851,ENST00000623213,DOCK1,ENSG00000150760,intronic enhancer,0.003,containing;closest
556,chr12,26786401,26788828,ENST00000242737,ITPR2,ENSG00000123104,intronic enhancer,0.067,containing;closest
557,chr12,26786401,26788828,ENST00000381340,ITPR2,ENSG00000123104,intronic enhancer,0.062,containing
570,chr4,57167956,57170409,ENST00000295666,IGFBP7,ENSG00000163453,intergenic enhancer,0.068,closest
571,chr4,57167956,57170409,ENST00000514062,IGFBP7,ENSG00000163453,intergenic enhancer,0.068,closest
576,chr4,42709551,42711247,ENST00000381668,ATP8A1,ENSG00000124406,intergenic enhancer,0.028,closest
597,chr22,17571006,17572477,ENST00000327451,SLC25A18,ENSG00000182902,intronic enhancer,0.013,containing
598,chr22,17571006,17572477,ENST00000399813,SLC25A18,ENSG00000182902,intronic enhancer,0.013,containing;closest
599,chr17,64441782,64444172,ENST00000615220,MILR1,ENSG00000271605,intergenic enhancer,0.019,closest
600,chrX,52983052,52984727,ENST00000610625,FAM156A,ENSG00000268350,intronic enhancer,0.123,containing;closest
603,chrX,52983052,52984727,ENST00000612915,FAM156A,ENSG00000268350,intronic enhancer,0.143,containing
604,chrX,52983052,52984727,ENST00000615092,FAM156A,ENSG00000268350,intronic enhancer,0.113,containing
605,chrX,52983052,52984727,ENST00000622323,FAM156A,ENSG00000268350,intronic enhancer,0.074,containing
609,chr6,17868368,17870806,ENST00000259711,KIF13A,ENSG00000137177,intronic enhancer,0.017,containing
610,chr6,17868368,17870806,ENST00000358380,KIF13A,ENSG00000137177,intronic enhancer,0.008,closest
611,chr6,17868368,17870806,ENST00000378814,KIF13A,ENSG00000137177,intronic enhancer,0.027,containing
612,chr6,17868368,17870806,ENST00000378826,KIF13A,ENSG00000137177,intronic enhancer,0.017,containing
613,chr6,17868368,17870806,ENST00000378843,KIF13A,ENSG00000137177,intronic enhancer,0.017,containing
614,chr10,126938937,126940575,ENST00000280333,DOCK1,ENSG00000150760,intronic enhancer,0.005,containing
615,chr10,126938937,126940575,ENST00000623213,DOCK1,ENSG00000150760,intronic enhancer,0.004,containing;closest
633,chr11,65101035,65103842,ENST00000526578,VPS51,ENSG00000149823,intronic enhancer,0.097,containing
634,chr11,65101035,65103842,ENST00000528588,VPS51,ENSG00000149823,intronic enhancer,0.074,containing
635,chr11,65101035,65103842,ENST00000529180,VPS51,ENSG00000149823,intronic enhancer,0.06,containing
636,chr11,65101035,65103842,ENST00000530773,VPS51,ENSG00000149823,intronic enhancer,0.107,containing
637,chr11,65101035,65103842,ENST00000534557,VPS51,ENSG00000149823,intronic enhancer,0.117,containing;closest
639,chr1,144882873,144883740,ENST00000619678,SRGAP2B,ENSG00000196369,intergenic enhancer,0.06,closest
640,chr9,42724751,42726300,ENST00000539936,FP325317.1,ENSG00000277737,intergenic enhancer,0.117,closest
653,chr9,625576,627794,ENST00000382293,KANK1,ENSG00000107104,intronic enhancer,0.001,closest
654,chr9,625576,627794,ENST00000382297,KANK1,ENSG00000107104,intronic enhancer,0.001,containing
655,chr9,625576,627794,ENST00000382303,KANK1,ENSG00000107104,intronic enhancer,0.001,containing
656,chr9,625576,627794,ENST00000619269,KANK1,ENSG00000107104,intronic enhancer,0.001,containing
669,chr16,85650717,85653250,ENST00000253458,GSE1,ENSG00000131149,intronic enhancer,0.028,containing
670,chr16,85650717,85653250,ENST00000393243,GSE1,ENSG00000131149,intronic enhancer,0.033,containing
671,chr16,85650717,85653250,ENST00000405402,GSE1,ENSG00000131149,intronic enhancer,0.015,containing
672,chr16,85650717,85653250,ENST00000411612,GSE1,ENSG00000131149,intronic enhancer,0.049,containing
673,chr16,85650717,85653250,ENST00000412692,GSE1,ENSG00000131149,intronic enhancer,0.024,closest
677,chr15,22805098,22807671,ENST00000337435,NIPA1,ENSG00000170113,intronic enhancer,0.011,containing;closest
678,chr15,22805098,22807671,ENST00000437912,NIPA1,ENSG00000170113,intronic enhancer,0.01,containing
679,chr15,22805098,22807671,ENST00000561183,NIPA1,ENSG00000170113,intronic enhancer,0.008,containing
692,chr21,44192408,44193181,ENST00000344330,ICOSLG,ENSG00000160223,intergenic enhancer,0.08,closest
699,chr7,139700809,139703532,ENST00000342645,HIPK2,ENSG00000064393,intronic enhancer,0.087,containing;closest
700,chr7,139700809,139703532,ENST00000406875,HIPK2,ENSG00000064393,intronic enhancer,0.057,containing
701,chr7,139700809,139703532,ENST00000428878,HIPK2,ENSG00000064393,intronic enhancer,0.087,containing
737,chr1,145424470,145426208,ENST00000392971,NBPF20,ENSG00000162825,intergenic enhancer,0.02,closest
743,chr9,133571915,133573847,ENST00000356873,FAM163B,ENSG00000196990,intronic enhancer,0.006,closest
790,chr8,2019695,2022851,ENST00000262113,MYOM2,ENSG00000036448,intergenic enhancer,0.033,closest
805,chr2,94207423,94209806,ENST00000561882,RP11-407P15.2,ENSG00000259916,intergenic enhancer,0.116,closest
810,chr1,206463596,206465780,ENST00000578328,IKBKE,ENSG00000263528,intronic enhancer,0.005,closest
811,chr1,206463596,206465780,ENST00000581977,IKBKE,ENSG00000263528,intronic enhancer,0.002,closest
812,chr1,206463596,206465780,ENST00000584998,IKBKE,ENSG00000263528,intronic enhancer,0.003,closest
816,chr1,148916668,148917352,ENST00000369349,PDE4DIP,ENSG00000178104,intronic enhancer,0.0,containing
817,chr1,148916668,148917352,ENST00000369351,PDE4DIP,ENSG00000178104,intronic enhancer,0.0,containing;closest
818,chr1,148916668,148917352,ENST00000369354,PDE4DIP,ENSG00000178104,intronic enhancer,0.0,containing
819,chr1,148916668,148917352,ENST00000369356,PDE4DIP,ENSG00000178104,intronic enhancer,0.0,containing
821,chr1,148916668,148917352,ENST00000524974,PDE4DIP,ENSG00000178104,intronic enhancer,0.0,containing
825,chr1,148916668,148917352,ENST00000585156,PDE4DIP,ENSG00000178104,intronic enhancer,0.0,containing
828,chr1,148916668,148917352,ENST00000618462,PDE4DIP,ENSG00000178104,intronic enhancer,0.0,containing
855,chr9,136344292,136346552,ENST00000354753,GPSM1,ENSG00000160360,intronic enhancer,0.092,containing
856,chr9,136344292,136346552,ENST00000429455,GPSM1,ENSG00000160360,intronic enhancer,0.078,closest
857,chr9,136344292,136346552,ENST00000440944,GPSM1,ENSG00000160360,intronic enhancer,0.078,containing
859,chr9,41357709,41360473,ENST00000377391,CBWD7,ENSG00000215126,intergenic enhancer,0.025,closest
861,chr12,55846414,55849695,ENST00000548629,MMP19,ENSG00000123342,intergenic enhancer,0.003,closest
865,chr9,136340771,136343670,ENST00000354753,GPSM1,ENSG00000160360,intronic enhancer,0.003,containing;closest
866,chr9,136340771,136343670,ENST00000440944,GPSM1,ENSG00000160360,intronic enhancer,0.003,containing
